	S3_RG	S3_SG	logFC	logCPM	PValue	FDR
TRINITY_DN6945_c1_g2	1.0490000000000002	1.273	-0.276995807631428	1.24092229759705	0.8328091743139658	1.0
TRINITY_DN9041_c0_g1	13.914000000000001	10.795	0.24509589877751398	1.2402961209588899	0.8328091743139658	1.0
TRINITY_DN8430_c2_g1	1.501	1.031	0.24509589877751398	1.2402961209588899	0.8328091743139658	1.0
TRINITY_DN8687_c3_g1	5.018	4.196000000000001	0.24509589877751398	1.2402961209588899	0.8328091743139658	1.0
TRINITY_DN7004_c2_g3	3.2289999999999996	2.752	0.24509589877751398	1.2402961209588899	0.8328091743139658	1.0
TRINITY_DN7337_c1_g3	7.487	6.115	0.24509589877751398	1.2402961209588899	0.8328091743139658	1.0
TRINITY_DN5006_c0_g1	1.213	1.0490000000000002	0.24509589877751398	1.2402961209588899	0.8328091743139658	1.0
TRINITY_DN6075_c1_g1	5.728	5.478	0.146269094233381	4.7207669946592405	0.8328911187303271	1.0
TRINITY_DN9083_c2_g1	14.788	13.682	0.14395640437477097	4.86049427721825	0.832934726357095	1.0
TRINITY_DN6677_c2_g1	22.069000000000003	20.316	0.14552487294170802	5.10757792237132	0.833000308799126	1.0
TRINITY_DN9084_c3_g1	62.206	70.811	-0.13947973490429502	7.32326447528409	0.833002738249726	1.0
TRINITY_DN9369_c7_g1	119.23	134.065	-0.139790490587933	7.070436776818889	0.833021551648217	1.0
TRINITY_DN6893_c1_g1	128.59799999999998	120.60700000000001	0.13868888678302302	8.172861520964918	0.833042957145869	1.0
TRINITY_DN8779_c3_g1	107.506	122.20299999999999	-0.138481244301113	8.36718833612539	0.833146851538086	1.0
TRINITY_DN6340_c3_g1	465.606	400.06	0.138278760402141	8.66261366290495	0.8332070844020758	1.0
TRINITY_DN7606_c2_g1	45.547	42.632	0.14002372024695198	6.5660336174886105	0.83321473158298	1.0
TRINITY_DN9010_c2_g2	226.84900000000002	210.713	0.138459466963681	7.98422456843907	0.8334736212256969	1.0
TRINITY_DN7449_c0_g3	21.267	25.651	-0.14458426295722301	5.73715132071247	0.8335129750716009	1.0
TRINITY_DN6025_c4_g3	13.76	15.573	-0.14410587515804	5.662693715363329	0.833522048129386	1.0
TRINITY_DN8818_c0_g1	25.421	23.67	0.14434002805932597	5.45702396171064	0.833549159648855	1.0
TRINITY_DN8634_c2_g1	13.729000000000001	12.767000000000001	0.142282391249877	4.93164103422165	0.8336346631003859	1.0
TRINITY_DN5469_c0_g1	11.168	10.544	0.14547793950752802	4.72773836237713	0.833674674434302	1.0
TRINITY_DN9261_c5_g1	6.983	6.617000000000001	0.14547793950752802	4.72773836237713	0.833674674434302	1.0
TRINITY_DN8609_c4_g1	13.955	15.161	0.146772511494952	4.65282130685953	0.8336903867458589	1.0
TRINITY_DN6439_c7_g1	10.437999999999999	9.593	0.146772511494952	4.65282130685953	0.8336903867458589	1.0
TRINITY_DN9525_c6_g1	6.457999999999999	7.4239999999999995	-0.148996107565637	4.5745392143592305	0.833707553503418	1.0
TRINITY_DN4483_c0_g1	4.72	5.406000000000001	-0.14596771330269598	3.8516550565890597	0.833890942290169	1.0
TRINITY_DN6847_c1_g1	37.155	43.6	0.14089271519309	5.66557623610668	0.833932186773452	1.0
TRINITY_DN6032_c1_g4	5.471	6.437	-0.22913177146488	1.8894703086963502	0.8339644838493789	1.0
TRINITY_DN4855_c0_g1	0.9670000000000001	1.183	-0.22913177146488	1.8894703086963502	0.8339644838493789	1.0
TRINITY_DN3849_c0_g1	1.5430000000000001	1.865	-0.22913177146488	1.8894703086963502	0.8339644838493789	1.0
TRINITY_DN8270_c3_g1	3.1060000000000003	3.7119999999999997	-0.22913177146488	1.8894703086963502	0.8339644838493789	1.0
TRINITY_DN4682_c0_g1	1.831	2.215	-0.22913177146488	1.8894703086963502	0.8339644838493789	1.0
TRINITY_DN7241_c2_g1	2.931	2.86	0.19713713576923603	1.88881431425708	0.8339644838493789	1.0
TRINITY_DN8401_c1_g1	2.89	2.573	0.19713713576923603	1.88881431425708	0.8339644838493789	1.0
TRINITY_DN8386_c2_g1	4.165	3.9	0.15927926420821	3.56216122706869	0.8339757941882281	1.0
TRINITY_DN8034_c3_g4	8.772	7.818	0.15927926420821	3.56216122706869	0.8339757941882281	1.0
TRINITY_DN4666_c0_g1	411.555	460.48900000000003	-0.137638008402413	8.635606929218369	0.8339849089692192	1.0
TRINITY_DN8881_c1_g1	33.998000000000005	31.398000000000003	0.147002879513626	5.273929361121191	0.834113655958662	1.0
TRINITY_DN6753_c1_g1	122.04700000000001	63.513000000000005	0.139967929910044	6.51154901122612	0.8341269109888799	1.0
TRINITY_DN7302_c0_g1	7.127000000000001	6.553999999999999	0.156429800997296	2.94968301582048	0.8341349626364221	1.0
TRINITY_DN9287_c5_g1	5.749	5.29	0.156429800997296	2.94968301582048	0.8341349626364221	1.0
TRINITY_DN8735_c1_g1	7.5889999999999995	6.9479999999999995	0.156429800997296	2.94968301582048	0.8341349626364221	1.0
TRINITY_DN9544_c9_g1	2.1180000000000003	1.9280000000000002	0.17598501237621803	2.33460796102088	0.834171130015875	1.0
TRINITY_DN8174_c1_g1	4.35	5.11	-0.19613188422928102	2.6753679206363197	0.834178534159107	1.0
TRINITY_DN7665_c4_g1	2.016	2.385	-0.19613188422928102	2.6753679206363197	0.834178534159107	1.0
TRINITY_DN7538_c5_g1	3.013	2.779	0.16407212795576	2.67467912797333	0.834178534159107	1.0
TRINITY_DN6250_c0_g1	34.204	31.524	0.14525225314113	5.0614310822979105	0.8342347058059871	1.0
TRINITY_DN7553_c0_g1	25.276999999999997	31.775	-0.14925618459457798	4.87386596493562	0.8343531656559721	1.0
TRINITY_DN8014_c3_g1	10.078	8.894	0.14469446657603802	4.73467620662158	0.8344509649054509	1.0
TRINITY_DN9426_c2_g1	38.934	36.302	0.1419576812029	6.00946861877078	0.8344550574626259	1.0
TRINITY_DN7066_c1_g3	22.789	21.006999999999998	0.143405834603317	5.46538974208374	0.8344904387169829	1.0
TRINITY_DN8913_c4_g1	19.447	22.118000000000002	-0.141916407970917	5.4661362608153	0.8344904387169829	1.0
TRINITY_DN8937_c8_g1	17.914	16.829	0.139621172396121	5.71024804026737	0.8347107166603391	1.0
