	gall_1	non_1	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN20853_c0_g2	3	7	gall	non	-0.5766454618856109	0.81924525904837	0.799900049975013	0.8732848717272259
TRINITY_DN25668_c0_g1	16	0	gall	non	7.35811143076527	1.4478642644588602	0.00039082463999038	0.00449766597096422
TRINITY_DN42932_c0_g1	9	0	gall	non	6.534859668529349	0.7885674142850091	0.00614930629923133	0.0343637069238416
TRINITY_DN62770_c0_g1	8	6	gall	non	1.02684339127579	1.21984123909712	0.438083377666006	0.5378899934218629
TRINITY_DN11567_c0_g1	2	9	gall	non	-1.4946866818281799	0.9031561637089252	0.44257871064467796	0.539395711023748
TRINITY_DN68548_c0_g1	1	7	gall	non	-2.07300173487084	0.581908530924166	0.18695652173913002	0.274745238875432
TRINITY_DN24159_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN58606_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN25955_c1_g1	25	45	gall	non	-0.216923419675835	3.2181794783721696	0.8169441273149429	0.8901200156335279
TRINITY_DN59666_c0_g1	5	4	gall	non	0.926484583057167	0.7404982870242142	0.5855072463768121	0.6834571921087921
TRINITY_DN3501_c0_g1	1	12	gall	non	-2.83778692941527	1.06511421247013	0.0999758185423419	0.16319785934549202
TRINITY_DN26049_c3_g2	48	1	gall	non	6.0142029649098205	2.9455347817406703	1.46827987007839e-07	6.66004208685915e-06
TRINITY_DN25590_c0_g1	39	0	gall	non	8.63831839012171	2.62973318801962	7.449998504695359e-07	2.5014530354149803e-05
TRINITY_DN58822_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN18110_c0_g1	0	15	gall	non	-6.640432572261809	1.20823257972407	0.0041656591059309	0.0266402780754797
TRINITY_DN17558_c0_g2	4	3	gall	non	1.00903383728481	0.49749732468050106	0.5217391304347829	0.621804315233688
TRINITY_DN11100_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN58432_c0_g1	11	0	gall	non	6.821534572836981	1.00680777719729	0.0028638906353275	0.020607180477825
TRINITY_DN50051_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN17277_c0_g1	4	13	gall	non	-1.0519511143296898	1.38741228531376	0.352672051071238	0.448377177445509
TRINITY_DN1768_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN25665_c0_g2	22	18	gall	non	0.914088065696755	2.52972260249568	0.2821109132129	0.37124993432459397
TRINITY_DN46077_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN9686_c0_g1	22	0	gall	non	7.81514282373173	1.8522244445802598	4.5323875751260104e-05	0.000760107213746212
TRINITY_DN26173_c1_g1	24	0	gall	non	7.94013977960135	1.96668383680592	2.8247060862709003e-05	0.000521889479518628
TRINITY_DN16082_c0_g1	4	5	gall	non	0.300147239320931	0.7286080023024429	1.0	1.0
TRINITY_DN21560_c0_g1	14	25	gall	non	-0.204880025966562	2.43888063960013	0.8475404414322808	0.9167032932928171
TRINITY_DN9513_c0_g1	1	5	gall	non	-1.59977809919011	0.327645012653475	0.43064182194616996	0.530555930583221
TRINITY_DN21668_c0_g1	20	2	gall	non	3.8536751574694903	1.8327626885245298	0.000621965454637039	0.00660983808860091
TRINITY_DN25992_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN27638_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN25510_c4_g3	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN4385_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN32764_c0_g1	0	10	gall	non	-6.062682625993191	0.7847001330705419	0.0219001610305958	0.0845506824052762
TRINITY_DN10972_c0_g1	0	7	gall	non	-5.55733006732272	0.44852743771642206	0.0565217391304347	0.130186290411476
TRINITY_DN24333_c0_g2	17	55	gall	non	-1.05928899729761	3.2080802998275204	0.180991881306017	0.271385402710904
TRINITY_DN25749_c2_g5	9	12	gall	non	0.21274440666219196	1.67385099903274	1.0	1.0
TRINITY_DN8840_c0_g1	0	15	gall	non	-6.640432572261809	1.20823257972407	0.0041656591059309	0.0266402780754797
TRINITY_DN36486_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN25409_c1_g4	10	6	gall	non	1.3452711484332298	1.38381030694527	0.283652797257285	0.37124993432459397
TRINITY_DN61318_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN24990_c0_g2	45	39	gall	non	0.834269020881815	3.5418340780548	0.26429022241399697	0.37124993432459397
TRINITY_DN26205_c2_g1	4191	3672	gall	non	0.8209857969704041	10.0523820589376	0.21261472173857102	0.308882455664154
TRINITY_DN23819_c0_g1	77	0	gall	non	9.61791481065072	3.60253233841506	2.71465977113102e-09	2.2132829934013601e-07
TRINITY_DN29682_c0_g1	3	5	gall	non	-0.103421826204884	0.605901552585096	1.0	1.0
TRINITY_DN21315_c0_g1	13	0	gall	non	7.060578994728321	1.19834455310189	0.0010064092377774301	0.00900669702606496
TRINITY_DN25342_c2_g3	32	0	gall	non	8.35370796209593	2.3551664743360696	3.5407787057568606e-06	9.33550087122313e-05
TRINITY_DN8514_c0_g1	13	7	gall	non	1.50324892740559	1.6586335188692298	0.11958231869244099	0.19343536589833396
TRINITY_DN6687_c0_g1	8	0	gall	non	6.366878250584789	0.6668620052487549	0.0140786749482402	0.0656007660212769
TRINITY_DN25687_c3_g4	40	24	gall	non	1.3616824487514299	3.19746027681391	0.08540708944496499	0.154727494458257
TRINITY_DN57043_c0_g1	0	5	gall	non	-5.084106431642	0.16762953952925302	0.161490683229814	0.24349958529298102
