	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN10135_c0_g1	SMP_1	SMP_2	-0.333943507	4.353325615	0.625742834	1
TRINITY_DN10136_c0_g1	SMP_1	SMP_2	-0.965354941	8.670800101	0.143578182	0.852016367
TRINITY_DN10137_c0_g1	SMP_1	SMP_2	0.313883206	1.62132937	0.717000856	1
TRINITY_DN10138_c0_g2	SMP_1	SMP_2	0.896469841	5.917637874	0.176866052	0.923898515
TRINITY_DN10139_c0_g1	SMP_1	SMP_2	-0.328578459	3.145147383	0.638642752	1
TRINITY_DN10140_c0_g1	SMP_1	SMP_2	-0.35865899	0.617684731	0.767876888	1
TRINITY_DN10140_c1_g1	SMP_1	SMP_2	-0.185528064	4.299353267	0.784329724	1
TRINITY_DN10141_c0_g1	SMP_1	SMP_2	-0.265947571	5.040343877	0.691909127	1
TRINITY_DN10142_c0_g2	SMP_1	SMP_2	0.111278554	3.74816848	0.871062567	1
TRINITY_DN10143_c0_g1	SMP_1	SMP_2	-0.730147486	2.161213124	0.320610916	1
TRINITY_DN10144_c0_g1	SMP_1	SMP_2	0.590969052	2.716640013	0.414588071	1
TRINITY_DN10145_c0_g1	SMP_1	SMP_2	0.208895178	4.504790938	0.760170266	1
TRINITY_DN10146_c0_g1	SMP_1	SMP_2	-1.084027292	7.67163251	0.101683168	0.74031487
TRINITY_DN10147_c0_g1	SMP_1	SMP_2	0.384440502	2.151937281	0.606931062	1
TRINITY_DN10147_c0_g2	SMP_1	SMP_2	-0.591750142	4.697422471	0.37863362	1
TRINITY_DN10148_c0_g1	SMP_1	SMP_2	0.131819981	3.13561218	0.864945656	1
TRINITY_DN10149_c0_g2	SMP_1	SMP_2	1.343798432	5.397937003	0.045910859	0.487784207
TRINITY_DN10150_c0_g1	SMP_1	SMP_2	0.092066476	5.254928087	0.894034541	1
TRINITY_DN10151_c0_g1	SMP_1	SMP_2	-0.969003286	4.221217784	0.155101854	0.871646479
TRINITY_DN10152_c0_g1	SMP_1	SMP_2	-0.651773098	6.566280416	0.323274406	1
TRINITY_DN10152_c0_g2	SMP_1	SMP_2	-0.764742855	3.322673152	0.267051136	1
TRINITY_DN10153_c0_g1	SMP_1	SMP_2	0.52654475	2.752719366	0.473148706	1
TRINITY_DN10154_c0_g1	SMP_1	SMP_2	-0.45848511	2.472494952	0.533440913	1
TRINITY_DN10155_c0_g1	SMP_1	SMP_2	-0.011889175	2.481693798	1	1
TRINITY_DN10155_c0_g2	SMP_1	SMP_2	0.592827345	4.147372507	0.381608749	1
TRINITY_DN10155_c0_g3	SMP_1	SMP_2	0.203852321	6.030123395	0.758750214	1
TRINITY_DN10156_c0_g1	SMP_1	SMP_2	-0.422851896	2.239721987	0.581254931	1
TRINITY_DN10157_c0_g1	SMP_1	SMP_2	-0.884280143	5.520875308	0.184033517	0.929660604
TRINITY_DN10158_c0_g1	SMP_1	SMP_2	-0.36633812	5.369501163	0.581160951	1
TRINITY_DN10159_c0_g1	SMP_1	SMP_2	-0.442596824	2.155293449	0.534920316	1
TRINITY_DN10160_c0_g1	SMP_1	SMP_2	0.041877584	4.263623412	0.957974888	1
TRINITY_DN10161_c0_g1	SMP_1	SMP_2	0.744194363	1.545874098	0.374546469	1
TRINITY_DN10162_c0_g1	SMP_1	SMP_2	0.167813304	2.644614981	0.832058482	1
TRINITY_DN10162_c1_g1	SMP_1	SMP_2	2.385973565	7.286793995	0.000544433	0.01735855
TRINITY_DN10162_c1_g2	SMP_1	SMP_2	2.659843454	0.342711195	0.0126381	0.198686821
TRINITY_DN10163_c0_g1	SMP_1	SMP_2	-0.151643268	2.992825643	0.835472854	1
TRINITY_DN10163_c0_g2	SMP_1	SMP_2	-0.268601745	0.93739618	0.809945727	1
TRINITY_DN10164_c0_g1	SMP_1	SMP_2	-0.013391498	5.588430659	0.985926995	1
TRINITY_DN10165_c0_g1	SMP_1	SMP_2	0.227008733	3.308506635	0.748257243	1
TRINITY_DN10166_c0_g1	SMP_1	SMP_2	-0.509192118	3.268444083	0.46708072	1
TRINITY_DN10167_c0_g1	SMP_1	SMP_2	-0.834023036	8.170415074	0.20560339	0.967722389
TRINITY_DN10168_c0_g1	SMP_1	SMP_2	-0.540758045	3.542767548	0.436416773	1
TRINITY_DN10169_c0_g2	SMP_1	SMP_2	1.275765495	3.029358017	0.069642586	0.615520222
TRINITY_DN10170_c0_g1	SMP_1	SMP_2	-1.038193726	3.1263445	0.134432298	0.825943891
TRINITY_DN10171_c0_g1	SMP_1	SMP_2	-0.079383816	3.722131106	0.909010227	1
TRINITY_DN10172_c0_g1	SMP_1	SMP_2	0.488977918	2.868907099	0.493686135	1
TRINITY_DN10173_c0_g1	SMP_1	SMP_2	0.400133918	5.910635759	0.545620408	1
TRINITY_DN10173_c0_g2	SMP_1	SMP_2	0.108858346	4.9140927	0.875089758	1
TRINITY_DN10174_c1_g1	SMP_1	SMP_2	-0.390173018	6.391094313	0.554100664	1
TRINITY_DN10175_c0_g1	SMP_1	SMP_2	-0.148004714	3.554889046	0.842248248	1
TRINITY_DN10175_c0_g2	SMP_1	SMP_2	-0.324408965	2.043132386	0.694233631	1
TRINITY_DN10175_c0_g3	SMP_1	SMP_2	-0.521211772	3.774082047	0.444550579	1
TRINITY_DN10176_c1_g1	SMP_1	SMP_2	0.379751859	4.402663056	0.574509492	1
TRINITY_DN10176_c1_g2	SMP_1	SMP_2	-2.088591853	0.683223822	0.017198877	0.249833798
TRINITY_DN10176_c1_g3	SMP_1	SMP_2	0.078094742	3.229535149	0.915167968	1
TRINITY_DN10177_c0_g2	SMP_1	SMP_2	0.373043627	2.456102263	0.609951701	1
