	sampleA	sampleB
GO:0006012	0.0	1.0
GO:0006020	1.0	0.0
GO:0006022	10.0	5.0
GO:0006023	2.0	0.0
GO:0006024	2.0	0.0
GO:0006026	5.0	0.0
GO:0006027	5.0	0.0
GO:0006030	0.0	5.0
GO:0006040	2.0	5.0
GO:0006047	1.0	0.0
GO:0006048	1.0	0.0
GO:0006050	1.0	0.0
GO:0006051	1.0	0.0
GO:0006065	2.0	0.0
GO:0006066	10.0	0.0
GO:0006067	1.0	0.0
GO:0006073	6.0	0.0
GO:0006081	8.0	0.0
GO:0006082	116.0	12.0
GO:0006083	2.0	0.0
GO:0006084	2.0	0.0
GO:0006085	1.0	0.0
GO:0006086	1.0	0.0
GO:0006090	26.0	4.0
GO:0006091	36.0	4.0
GO:0006094	6.0	0.0
GO:0006096	23.0	4.0
GO:0006097	5.0	0.0
GO:0006099	13.0	0.0
GO:0006101	13.0	0.0
GO:0006102	2.0	0.0
GO:0006103	5.0	0.0
GO:0006104	1.0	0.0
GO:0006105	1.0	0.0
GO:0006106	1.0	0.0
GO:0006109	5.0	1.0
GO:0006111	2.0	1.0
GO:0006112	4.0	0.0
GO:0006115	1.0	0.0
GO:0006121	1.0	0.0
GO:0006122	4.0	0.0
GO:0006139	203.0	36.0
GO:0006140	4.0	0.0
GO:0006144	2.0	0.0
GO:0006145	2.0	0.0
GO:0006152	2.0	0.0
GO:0006163	16.0	1.0
GO:0006164	15.0	1.0
GO:0006165	0.0	1.0
GO:0006177	1.0	0.0
GO:0006183	2.0	0.0
GO:0006206	4.0	1.0
GO:0006207	4.0	0.0
GO:0006213	7.0	1.0
GO:0006218	1.0	0.0
GO:0006220	8.0	2.0
GO:0006221	8.0	2.0
GO:0006222	6.0	1.0
GO:0006226	1.0	0.0
GO:0006228	1.0	0.0
GO:0006230	0.0	1.0
GO:0006241	1.0	0.0
GO:0006259	72.0	12.0
GO:0006260	21.0	2.0
GO:0006261	3.0	1.0
GO:0006265	5.0	0.0
GO:0006266	3.0	0.0
GO:0006269	1.0	0.0
GO:0006270	6.0	0.0
GO:0006271	4.0	0.0
